id,customer_id,email,password_hash,last_login
5047f2ae-29e5-48fd-ac9d-cb8d1baad032,4791974e-1b1f-4630-a019-b278e9273de1,customer1@example.com,$2a$10$f462424357144d0db2687f,2025-05-27 05:45:59.623881
95430545-5d99-48cc-8a08-ced39aa847fd,6d2e9600-6144-410a-a9d0-213ebc892b2e,customer2@example.com,$2a$10$5bcc7e7c61d946de9c5b83,2025-04-17 05:45:59.624132
b23ea797-6bf2-42dc-b0a2-01b336e07445,a89bb425-3486-4b75-89b5-eaa8e01f989a,customer3@example.com,$2a$10$5f99d5a1b2df4f3cab1706,2025-07-19 05:45:59.624313
e8e817a4-bec8-4d8c-b71c-e1774a26fd69,da53e54d-560a-44ae-9544-f8a64abba56e,customer4@example.com,$2a$10$e3734f207deb434aac0e1c,2025-03-13 05:45:59.624511
0802b1d4-fbc6-4a7f-b6e0-5b2852f79fff,7c795acb-78ea-4a79-adcc-0aad10a6ce94,customer5@example.com,$2a$10$db5cc02563fd40188b50fb,2025-02-20 05:45:59.624674
0d1f2d66-f183-47dc-aac7-951963f4bbfa,d20e07f2-e834-4eb1-8071-29ef1e4835d3,customer6@example.com,$2a$10$c16876d572cf4d8fb6b068,2025-02-18 05:45:59.624846
b056f34d-a035-412c-bbca-4772b94060e5,59543329-0213-41b1-a216-18d16373a2c5,customer7@example.com,$2a$10$48a02d3d10bd4065a04812,2025-09-03 05:45:59.625049
8ace047e-c4c6-4b3b-8b12-6963b518c235,c63dbff4-8230-489e-a61f-3e0ae434dfcb,customer8@example.com,$2a$10$9647add84de64a138be59e,2025-06-10 05:45:59.625437
58d02358-1e03-4a0f-9739-bdbfbb297f1d,4e20f9a4-c4fb-4b85-ae0c-78f0e287cc18,customer9@example.com,$2a$10$4352e658100a4ccb818c76,2025-07-02 05:45:59.625953
99ebb9b9-9512-4859-bc1c-c15b7620a70f,81c30df6-7c66-4e90-8b19-36242974ff29,customer10@example.com,$2a$10$2652ddf4a463401581d3c4,2025-09-02 05:45:59.626357
78ac7124-a76b-499a-88bc-40b510c0f65b,a9455c5e-429d-4be6-803d-33f453017104,customer11@example.com,$2a$10$f720cc05d6644a8fbd1bf7,2025-05-10 05:45:59.626812
3315c37a-d1c9-4fed-835a-c3afc86723e8,5620f6a4-06f2-4388-954d-2b5bf0e4bd04,customer12@example.com,$2a$10$c7bb151077864b6387afc9,2025-03-15 05:45:59.627180
dbe37bf0-693f-4c78-a6e9-5c04130564c5,202f6aa3-59d8-4f3b-a7fb-1fb27e0f55c3,customer13@example.com,$2a$10$4ce0bd76a33d4213ab6662,2025-03-31 05:45:59.627529
d26447d0-97d3-4b0e-bafd-221a1f6dd62c,a5a45ca5-443d-464d-8997-9ae90b11b574,customer14@example.com,$2a$10$3b0a0297e38b490eb27a62,2025-04-28 05:45:59.627853
d5726ea4-8c13-4e93-8a7b-a2cc9c0c4889,f51a6b3f-d3fe-4e46-8e5a-af80f05815d8,customer15@example.com,$2a$10$8d838c53ec684450b5dd2c,2025-03-21 05:45:59.628192
47a04cc3-41cc-45e8-a873-7c6b9bfec40c,773045d5-9455-4a55-8f45-998b8b08f589,customer16@example.com,$2a$10$f7dd204eeb474ef6bbb90b,2025-02-05 05:45:59.628687
e1087a87-de27-4e68-a749-5058253f344a,524b8b22-df98-4932-b2ec-53dcba4aa7c2,customer17@example.com,$2a$10$a87409c4993c4101a37a5e,2025-07-19 05:45:59.629085
